episode,reward,success,step,cost,action_list
0,-1003.3863456207275,,342,,
1,-3.9609924770355223,,500,,
2,-1003.010856906128,,290,,
3,-1003.6749289764404,,390,,
4,-1003.459324963379,,342,,
5,-1003.3631812515259,,347,,
6,-1002.701565750885,,254,,
7,-3.9557005264282243,,500,,
8,-1002.9771879608154,,284,,
9,-1003.2183237838746,,333,,
10,-3.853287775802612,,500,,
11,-1003.9122855804444,,388,,
12,-3.4731263723373402,,500,,
13,-4.396267559814454,,500,,
14,-3.4247812166213962,,500,,
15,-3.7150948841094986,,500,,
16,-3.6812559904098516,,500,,
17,-1002.7665943969727,,263,,
18,-4.7058964080810615,,500,,
19,-3.8161831016540533,,500,,
20,-1004.228373628235,,464,,
21,-4.123878299331661,,500,,
22,996.795989380169,,436,,
23,-1004.0219907745361,,463,,
24,-3.4303735383987433,,500,,
25,-1003.1776921745301,,309,,
26,-4.642102735900878,,500,,
27,-1003.1938673858643,,313,,
28,-1003.7212379096985,,396,,
29,-3.5585677921295136,,500,,
30,-4.292378247833253,,500,,
31,-3.7925291500091527,,500,,
32,-1002.9592447807312,,283,,
33,-4.004013831329344,,500,,
34,-1002.8772737892151,,267,,
35,-1002.7955024368287,,249,,
36,-1003.6026669128419,,378,,
37,-4.073694550704958,,500,,
38,-3.5581582279205346,,500,,
39,-4.248978102493288,,500,,
40,-1003.5223520210267,,374,,
41,-1003.887404675293,,422,,
42,-3.536693911361694,,500,,
43,-3.4324514745712262,,500,,
44,-3.572337407112124,,500,,
45,-1002.743464504242,,256,,
46,-3.688526920890804,,500,,
47,-1000.1863463043213,,16,,
48,-1003.3577624221803,,334,,
49,-3.946243610763556,,500,,
50,996.7356190750122,,462,,
51,-4.206966030120849,,500,,
52,-3.4223202786445603,,500,,
53,996.4743633162499,,493,,
54,-3.614836620903016,,500,,
55,-3.644356151008602,,500,,
56,996.8324920819283,,430,,
57,-4.290330252456666,,500,,
58,-1003.4392826530457,,343,,
59,-4.104454364395141,,500,,
60,-3.5484126930236806,,500,,
61,-1002.8118093963624,,262,,
62,-3.4609717958450297,,500,,
63,-3.9697433002471936,,500,,
64,-3.829528466033933,,500,,
65,-3.363868776512144,,500,,
66,-4.0193851871490525,,500,,
67,-3.7770360061645487,,500,,
68,-3.796257272911073,,500,,
69,-3.8501046924591087,,500,,
70,-4.472622309875496,,500,,
71,-4.201752229309084,,500,,
72,-1004.142047505188,,453,,
73,-3.6579802703857407,,500,,
74,-3.74589444351196,,500,,
75,-3.6603818971633904,,500,,
76,-4.61591134338379,,500,,
77,-3.417673310852051,,500,,
78,-3.4956569503784163,,500,,
79,-3.8316118572235123,,500,,
80,-4.691627810668951,,500,,
81,-3.483294512939454,,500,,
82,996.5222131293297,,467,,
83,-3.835209732055665,,500,,
84,-3.9191384628295896,,500,,
85,996.3753534733772,,498,,
86,996.3958512503624,,491,,
87,-4.486378794860841,,500,,
88,-3.548421053695674,,500,,
89,-3.532480754852296,,500,,
90,-4.029530538177492,,500,,
91,996.4416970048904,,481,,
92,-1004.0115160987854,,425,,
93,-3.534543531799315,,500,,
94,-3.9803847606658933,,500,,
95,-3.9963680412292457,,500,,
96,-3.7460395431518516,,500,,
97,-1000.126853829956,,11,,
98,-3.819101758575437,,500,,
99,-3.6209860391616826,,500,,
